Sentence,Two_Entity,Predict,Label,idx,row,col
"it says that in 2005 so ##hai ##l ` ` was visited by a jackson hewitt tax services inc . employee , who informed so ##hai ##l that santa barbara bank had told jackson hewitt corporate headquarters that so ##hai ##l ' s smart tax / jackson hewitt stores were filing too many fraudulent returns . ' '","[[2005], [jackson, hewitt, tax, services, inc, .]]",no_relation,no_relation,17,0,0
"much to the delight of american hip - hop star ph ##ar ##rell williams , who watched the race alongside hamilton ' s father anthony , hamilton opened up a 2 . 2 sec lead from alonso after ten laps with mass ##a 4 . 5 sec behind .","[[hamilton], [sec]]",no_relation,no_relation,18,0,0
"damascus - - saudi permanent representative to the arab league ( al ) ahmad q ##att ##an said here monday that he will attend the upcoming arab summit on behalf of his country , ruling out the presence of saudi king abdullah or foreign minister prince sa ##ud al - fai ##sal .","[[ahmad, q, ##att, ##an], [saudi]]",no_relation,no_relation,19,0,0
"the super bowl is getting , in addition to some saints , a controversial dose of the culture wars : florida quarterback prodigy tim te ##bow will appear in a 30 - second ad purchased by the conservative group focus on the family that is scheduled to air during the nation ' s biggest football game on feb . 7 on cbs .","[[focus, on, the, family], [cbs]]",no_relation,no_relation,20,0,0
"the two bush administrations s ##nu ##bbed highly qualified northwest republicans - - dan evans , jennifer dunn and slade go ##rton - - and were satisfied with making prominent go ##p donors into u . s . ambassadors to diplomatic back ##water ##s .","[[jennifer, dunn], [u, ., s, .]]",no_relation,no_relation,21,0,0
"but , as a zionist , he insisted that the city remain under israeli sovereignty , rejecting palestinians ' demand to make its arab part the capital of their would - be state .","[[he], [arab]]",no_relation,no_relation,24,0,0
"other album contributors include lucas sec ##on ( paula dean ##da , jo ##rdy ##n taylor ) , victoria ` ` lady v ' ' horn ( brandy norwood , christina mil ##ian ) , toby ga ##d ( es ##me ##e dent ##ers , pi ##xie lot ##t ) , andrea martin ( tr ##ac ##ie spencer , melanie fiona ) , lin ##dy robbins ( nicole sc ##her ##zing ##er , ashley parker angel ) and ta ##wan ##na ` ` frankie storm ' ' da ##bn ##ey ( raven sy ##mon ##e , jessica ma ##ub ##oy ) .","[[melanie, fiona], [jessica, ma, ##ub, ##oy]]",no_relation,no_relation,25,0,0
"this friday ( september 11th ) , frankie delgado from the hills , zack taylor , and another very special guest will be party ##ing at club se ##7 ##en in niagara falls , ontario ! !","[[september, 11th], [frankie, delgado]]",no_relation,no_relation,26,0,0
"labels : ` ` ce ##lib ##acy ' ' , brandon mc ##iner ##ney , california , gay youth , hate crimes , lawrence king , murder , transgender issues","[[brandon, mc, ##iner, ##ney], [hate, crimes]]",no_relation,no_relation,27,0,0
"in a statement , the ontario human rights commission said the contents of press articles were beyond its pu ##r ##view , but added it ` ` has serious concerns about the content of a number of articles concerning muslims ' ' published by maclean ' s and other media outlets which were ` ` identified as contributing to islam ##op ##ho ##bia and promoting societal into ##ler ##ance towards muslims . ' '","[[ontario, human, rights, commission], [maclean]]",no_relation,no_relation,28,0,0
"far , three sex offenders - george kennedy , roy smith , and james easter - all of whom were friends of jennifer buchanan , ne ##va ##eh ' s 24 - year old mother , have been under police scrutiny and jailed for non - related crimes while the investigation continues more than a week after 5 - year old ne ##va ##eh buchanan went missing","[[george, kennedy], [ne, ##va, ##eh]]",no_relation,no_relation,30,0,0
hong kong government unhappy with disneyland ' s performance,"[[hong, kong], [disneyland]]",no_relation,no_relation,31,0,0
"pali ##n ' s two months in the national media spotlight raised questions about some of her activities as governor - in particular , her charging the state $ 17 , 000 in per die ##m payments for nights she stayed in her was ##illa home , and $ 21 , 000 for her children ' s travel . no new policies have been set for those practices , mca ##llis ##ter said tuesday .","[[her], [mca, ##llis, ##ter]]",no_relation,no_relation,32,0,0
"adding dow and p & g gives the 2012 london olympics 11 top - tier sponsors including ace ##r , at ##os origin , coca - cola , ge , mcdonald ' s , omega , pan ##as ##onic , samsung and visa .","[[coca, -, cola], [samsung]]",no_relation,no_relation,33,0,0
"mali ##a obama , 10 , once told ` ` access hollywood ' ' that she was looking forward to decor ##ating her room at the white house .","[[hollywood], [she]]",no_relation,no_relation,34,0,0
hubbard was a low - profile economic adviser to the president whose strength came from his closeness to bush .,"[[his], [bush]]",no_relation,no_relation,35,0,0
"the country has been under emergency rule since january 11 last year , when polls were cancelled after months of violence over vote - rig ##ging allegations made by the aw ##ami league against z ##ia ' s bangladesh nationalist party ( bn ##p ) .","[[aw, ##ami, league], [bangladesh, nationalist, party]]",no_relation,no_relation,36,0,0
kevin doyle scored twice to lead reading to a 6 - 0 ma ##ulin ##g of struggling west ham ; tottenham drew 1 - 1 at portsmouth ; and blackburn won 3 - 0 at wigan .,"[[west, ham], [blackburn]]",no_relation,no_relation,37,0,0
the new south wales war ##ata ##hs booked a prized berth in the super 14 finals with an easy 32 - 16 win over the wellington hurricanes on friday in sydney .,"[[new, south, wales, war, ##ata, ##hs], [sydney]]",no_relation,no_relation,38,0,0
"` ` we have received many proposals and we are considering them , ' ' iran ' s atomic chief , ali akbar sale ##hi , was quoted as saying on saturday in local media .","[[ali, akbar, sale, ##hi], [saturday]]",no_relation,no_relation,39,0,0
the mainland affairs council ( mac ) announced monday that the government will cancel the current quota of 500 per month for applications by chinese spouse ##s for taiwanese id cards .,"[[mainland, affairs, council], [monday]]",no_relation,no_relation,40,0,0
"olivia gets her hair cut and coloured at the award - winning roy tee ##lu ##ck salon in new york , where she also has hair extensions by expert andre davis .","[[roy, tee, ##lu, ##ck, salon], [she]]",no_relation,no_relation,41,0,0
"the victory of the aw ##ami national party , or an ##p , was welcomed by western officials and pakistani ##s as a clear rejection of the taliban and the religious parties that backed them here in north - west frontier province .","[[an, ##p], [western]]",no_relation,no_relation,43,0,0
"` ` i do n ' t think the church ( leaders ) would have been very happy about it ( the series ) , but i never deal with those people , ' ' he said , though he has met the california - based mis ##ca ##vi ##ge a few times .","[[he], [mis, ##ca, ##vi, ##ge]]",no_relation,no_relation,45,0,0
"the restaurant survey company za ##gat has even teamed up with the health benefits company well ##point inc . , parent company of anthem blue cross , to provide blue cross members with an online tool to evaluate doctors .","[[za, ##gat], [well, ##point, inc, .]]",no_relation,no_relation,46,0,0
"in contrast to bermuda , where co ##vid ##ien has just five employees , co ##vid ##ien already has five factories and nearly 2 , 000 employees in ireland .","[[bermuda], [co, ##vid, ##ien]]",no_relation,no_relation,48,0,0
the truth is that muslim convert and democrat andre carson was elected to serve not because he is a muslim but because the overwhelmingly christian electorate in indiana believes he is the right person for the job .,"[[andre, carson], [he]]",no_relation,no_relation,49,0,0
"` ` i felt that it was a good collaboration , ' ' said william anderson , author of several wilder biographies and related histories and a board member of the wilder home association that operates the mansfield site .","[[william, anderson], [wilder]]",no_relation,no_relation,50,0,0
"according to dan abrams , bill o ' reilly , sean han ##nity , alan col ##mes , glen beck , john gibson and others , they are .","[[dan, abrams], [glen, beck]]",no_relation,no_relation,51,0,0
"though there had been speculation about mr . cow ##ell ' s status with the show for several weeks , he said that he had only formally reached an agreement with fox ` ` at half - past - 10 ″ this morning to bring another reality series , ` ` the x factor , ' ' to the network next year .","[[cow, ##ell], [several, weeks]]",no_relation,no_relation,53,0,0
"- - guest high - profile professional rodeo cowboys association athletes , including defending world all - around champion trevor brazil ##e and seven - time team ro ##ping world champion clay o ' brien cooper","[[professional, rodeo, cowboys, association], [clay, o, ', brien, cooper]]",no_relation,no_relation,54,0,0
"` ` the ` flash ' november euro ##zone service sector and manufacturing purchasing managers ' surveys ( height ##ens ) concern that the euro ##zone ' s recession is deep ##ening , ' ' he added .","[[november], [he]]",no_relation,no_relation,55,0,0
"more news now john , and now i am shocked . forest wanting loan deals , heard that on east midlands today last night , but br ##ining in george boyd is a bit of a shock . why have you let him go , in my view he is one of your prize assets .","[[now], [him]]",no_relation,no_relation,56,0,0
"liu made the request thursday after the sac gave a review of the national olympic team ' s participation in the 2008 beijing olympic games and the sac ' s vision for the future of sports in taiwan , at a regular cabinet meeting .","[[sac], [the, future]]",no_relation,no_relation,57,0,0
"he said iran had 3 , 300 or 3 , 400 cent ##ri ##fu ##ges of the 1970s vintage p - 1 type in the nat ##an ##z enrichment hall , up from 3 , 000 at the end of last year .","[[he], [3, ,, 400]]",no_relation,no_relation,59,0,0
"gm china , china ' s fa ##w launch joint venture","[[gm, china], [fa, ##w]]",no_relation,no_relation,60,0,0
"ku ##rna ##z was captured in pakistan by u . s . forces soon after the sept . 11 , 2001 terror attacks in the united states and later imprisoned at guantanamo bay in 2002 .","[[ku, ##rna, ##z], [guantanamo, bay]]",no_relation,no_relation,62,0,0
"con ##sum ##mate entertainer nancy wilson , composer and pianist herb ##ie hancock , producer quincy jones , pianist and lifelong friend oliver jones and soprano me ##ash ##a br ##ue ##gger ##gos ##man will gather to celebrate the life and works of the jazz legend , who died dec . 23 from kidney failure at his home in a toronto suburb .","[[dec, ., 23], [his]]",no_relation,no_relation,63,0,0
"if the strike ends soon , abs president steve mcpherson has said he would prefer to leave wednesday nights intact as the entire line - up of freshman shows is doing quite well in which case they may have to find a new slot for ` ` lost . ' '","[[steve, mcpherson], [he]]",no_relation,no_relation,64,0,0
"for most of her life , she had balanced the challenges of her private life with the joy of singing , stepping onstage and transforming herself into characters that made her forget her troubles .","[[she], [her]]",no_relation,no_relation,65,0,0
"the backing of paralyzed veterans of america , wounded warrior project , and disabled american veterans adds momentum to the chairman ' s veterans ' health care agenda , which includes reforming health care funding , breaking down health care barriers for rural veterans , and establishing a permanent support program for family care ##gi ##vers .","[[paralyzed, veterans, of, america], [wounded, warrior, project]]",no_relation,no_relation,66,0,0
"- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - a response by the american psychiatric association : ` ` we advocate for the patient and for quality treatment ' ' ( up to to ##c ) james thompson , m . d . , is the deputy medical director of the office of education at the american psychiatric association .","[[american, psychiatric, association], [for, quality, treatment]]",no_relation,no_relation,67,0,0
she said she wanted to leave her three children an inheritance and take care of her sick son .,"[[her], [three]]",no_relation,no_relation,68,0,0
"then i was contacted in recent weeks by 46 - year - old brian davis , an arizona resident , who told me about his intimate relationship with mark bus ##e ( confirmed by his mother , as well as by a long - time friend ) , and who decided he needed to tell the truth about bus ##e , on the record , in light of john mccain ' s dramatic shift to the ideological religious right in this election and his choice of sarah pali ##n , star ##let of the evangelical movement , as a running mate .","[[bus, ##e], [his]]",no_relation,no_relation,69,0,0
"- l ##sb - by the way , i first pointed out alice when she was announced as being the new agent pro ##vo ##cate ##ur face , since then they ' ve been giving her a massive pr push ( obviously got big plans for her ) , in the sun in particular , which i missed .","[[alice], [she]]",no_relation,no_relation,70,0,0
i had to split carnival because i feel that there is a marked difference in the spirit class ships and the rest of the fleet .,"[[carnival], [spirit, class]]",no_relation,no_relation,71,0,0
"now , back to the topic at hand - is it just me , or is that picture of alice della ##l that simply says ` ` metal ' ' at the top similar to this one of madonna ?","[[alice, della, ##l], [one]]",no_relation,no_relation,72,0,0
the ontario human rights commission is arguing that a provincial court judge failed to recognize the religious freedoms of a muslim woman when he ordered her to testify at a sexual assault trial without a veil known as a ni ##qa ##b .,"[[ontario, human, rights, commission], [muslim]]",no_relation,no_relation,73,0,0
"this movie , written by ben still ##er , eta ##n cohen , and the actor justin the ##rou ##x and directed by still ##er , will certainly make more money , which will tick ##le the executives , like gross ##man , that ` ` tr ##op ##ic thunder ' ' wants to send up .","[[eta, ##n, cohen], [justin, the, ##rou, ##x]]",no_relation,no_relation,75,0,0
"she was the daughter of larkin douglass watson , an actor who appeared for 15 years on the nbc soap opera ` ` another world . ' '","[[she], [actor]]",no_relation,no_relation,76,0,0
"the broader top ##ix index of all first section issues on the tokyo stock exchange added 32 . 52 points , or 2 . 07 percent , to end at 1 , 60 ##6 . 49 .","[[tokyo, stock, exchange], [1, ,, 60, ##6, ., 49]]",no_relation,no_relation,79,0,0
"shi ' it ##es believe that imam ma ##hdi is hidden and will never die , but he will return at the end of the time to bring peace and justice to the mankind .","[[he], [mankind]]",no_relation,no_relation,80,0,0
"department of children and families secretary george sheldon who notably voted against the law in the legislature three decades ago but whose agency had to fight the legal challenge said no matter the outcome , the dc ##f would not remove the boys .","[[george, sheldon], [dc, ##f]]",no_relation,no_relation,82,0,0
"` ` this is not related to the investigation into toyota recalls , ' ' den ##so spoke ##sw ##oman bridget ##te la ##rose go ##lling ##er told af ##p .","[[den, ##so], [af, ##p]]",no_relation,no_relation,83,0,0
us under ##se ##cre ##tary for political affairs nicholas burns said ties remained ` ` exceptionally strong ' ' and that washington ' s conservative administration was looking forward to working with centre - left prime minister kevin rudd .,"[[nicholas, burns], [kevin, rudd]]",no_relation,no_relation,84,0,0
"dea ##ver , who had pan ##cre ##atic cancer , died at his home in beth ##es ##da , maryland , according to a statement from the dea ##ver family that was issued by ed ##elman , the public relations firm he served as vice chairman .","[[dea, ##ver], [dea, ##ver]]",no_relation,no_relation,85,0,0
"tri ##sta is bored , she looks like a washed old has - been . . . needs to cut that long dry straw mo ##p , all she is missing is the broom . . . she also says she was with k . pa ##ves the favorite hair ##dre ##sser to many . . . why did he not chop that long mo ##p of straw off . . . tri ##sta is 40 something not a 20 something . . . cut that mo ##p and get yourself together woman . . .","[[she], [tri, ##sta]]",no_relation,no_relation,86,0,0
"and the end of their waiting marked the final chapter in what had been a knock - down , drag - out fight between butter ##worth ' s predecessor , former dc ##f secretary lucy had ##i , and pas ##co - pine ##llas public defender bob dil ##linger .","[[lucy, had, ##i], [bob, dil, ##linger]]",no_relation,no_relation,87,0,0
"it ' s as if per ##le and his ruthless gang have suddenly decided to dump the philosophy of the neo ##con co ##gno ##scent ##i of mach ##ia ##vel ##lian lying and deception , leo strauss .","[[per, ##le], [leo, strauss]]",no_relation,no_relation,89,0,0
"below is her 1980 farewell performance , where she performs tell me why , the song she always closed with .","[[she], [she]]",no_relation,no_relation,91,0,0
"- lc ##b - excerpt - rc ##b - albany democrat herald , or the program is called operation purple and organized by the national military family association .","[[albany, democrat, herald], [national, military, family, association]]",no_relation,no_relation,92,0,0
"news ##om , who recorded several cds , wrote arrangements for artists ranging from opera singer beverly si ##lls to country singer kenny rogers .","[[opera], [beverly, si, ##lls]]",no_relation,no_relation,94,0,0
"` ` one of the suspects said - l ##sb - the military agent ) was the one who provided the bomb , ' ' bar ##cen ##a told abs - cbn .","[[one], [bar, ##cen, ##a]]",no_relation,no_relation,96,0,0
"his wife , who accompanied yo ##adi ##m ##nad ##ji to paris , will rep ##at ##ria ##te his body to chad , the ambassador said .","[[yo, ##adi, ##m, ##nad, ##ji], [his]]",no_relation,no_relation,97,0,0
"referring to the long - term policy of the u . s . to support continuous advancement of cross - strait relations on the basis of the tr ##a , which was reiterated by obama , the mac said the government will consistently seek to improve cross - strait relations on the basis that taiwan ' s safety is secured .","[[u, ., s, .], [mac]]",no_relation,no_relation,100,0,0
"as andrew was about to leave , dr . goodman slipped io ##dine and bandages into his duff ##el bag , in case he was rough ##ed up in the south .","[[his], [he]]",no_relation,no_relation,102,0,0
"directed by ben still ##er ; written by justin the ##rou ##x , still ##er and eta ##n cohen , based on a story by still ##er and the ##rou ##x ; director of photography , john toll ; edited by greg hayden ; music by theodore shapiro ; production designer , jeff mann ; produced by stuart corn ##feld , still ##er and eric mcleod ; released by dream ##works pictures and paramount pictures .","[[still, ##er], [the, ##rou, ##x]]",no_relation,no_relation,103,0,0
venezuelan president hugo chavez and three of his closest allies are teaming up to create a development bank with more than us $ 1 billion ( euro ##6 ##80 million ) in startup capital .,"[[hugo, chavez], [his]]",no_relation,no_relation,105,0,0
a renovation is under way at the d ##mc ' s former hut ##zel hospital to make way for the 50 new students and an addition is planned at mac ##om ##b university center for the 50 new students there .,"[[d, ##mc], [hut, ##zel, hospital]]",no_relation,no_relation,107,0,0
"the current world no . 7 , just 18 years old , made the women ' s singles semifinals after ou ##sti ##ng li ji ##e of the net ##her ##land and south korea ' s park mi young , and partnered li xiao ##dan to beat the korean pair park and kim ky ##ung ah for the women ' s doubles final , all in five sets .","[[li, ji, ##e], [park]]",no_relation,no_relation,111,0,0
"in 2003 , he was among a group of protesters who laid down on a long island highway in a symbolic reference to the casualties of war .","[[2003], [he]]",no_relation,no_relation,112,0,0
"five under ##sea cables were damaged as the typhoon triggered mud ##sl ##ides in the sea off southern taiwan , disrupt ##ing internet connections and jam ##ming telephone services , said chung ##hwa telecom .","[[taiwan], [chung, ##hwa, telecom]]",no_relation,no_relation,113,0,0
the les ##otho workers party in coalition with the abc would also share its 10 party votes with the abc .,"[[abc], [abc]]",no_relation,no_relation,115,0,0
"lorraine roth ##man , a leader of the feminist health movement in the 1970s who suggested that women could undergo or perform g ##yne ##col ##ogical procedures without medical supervision , most controversial ##ly ending very early pre ##gnan ##cies with men ##st ##ru ##al extraction , died sept . 25 at her home in fuller ##ton , cal ##if . .","[[lorraine, roth, ##man], [her]]",no_relation,no_relation,116,0,0
"the dialogue process was abandoned after the 2008 mumbai attacks , blamed on pakistan - based lash ##kar - e - tai ##ba group .","[[mumbai], [lash, ##kar, -, e, -, tai, ##ba]]",no_relation,no_relation,117,0,0
several days earlier cow ##ell had predicted cook as the winner .,"[[cow, ##ell], [cook]]",no_relation,no_relation,118,0,0
"the manila economic and cultural office ( me ##co ) , which is the philippines ' de facto embassy in taiwan in the absence of formal diplomatic ties , has made efforts to seek cl ##eme ##ncy for ne ##men ##cia arm ##ia pan ##ag ##lim ##a ( aka cecilia arm ##ia al ##car ##az ) , who was sentenced to death in october for robb ##ing and murdering an english teacher broker .","[[manila, economic, and, cultural, office], [cecilia, arm, ##ia, al, ##car, ##az]]",no_relation,no_relation,119,0,0
"the lcd has swept support from mainly rural areas , fighting off the newly - formed abc which had promised to tackle poverty and corruption in one of the world ' s most impoverished , aids - stricken countries .","[[abc], [aids, -, stricken]]",no_relation,no_relation,120,0,0
"in one card , mo ##uss ##aw ##i looks down from heaven , a paradise of blue rivers and red flowers quite different from the barren hillside ##s , poll ##uted streams and over ##bu ##il ##t lands where his men died in such numbers .","[[one], [mo, ##uss, ##aw, ##i]]",no_relation,no_relation,121,0,0
"in this exclusive interview with ` ` monica mania ' ' , the singer / songwriter talks about the di ##sb ##and ##ing of dani ##ty kane , the warm relationship she once shared with lisa ` ` left eye ' ' lo ##pes , her mentor sal ##aa ##m re ##mi , the instant connection with cher ##i dennis , how til ##a tequila knows exactly what she wants , and so much more","[[monica, mania], [her]]",no_relation,no_relation,122,0,0
"` ` the scorpion ##s ' ' scored their first top - 10 hit in 1984 with ` ` still loving you ' ' and made the charts with anthem ##s like ` ` rock you like a hurricane ' ' , ` ` no one like you ' ' and ` ` send me an angel ' ' .","[[scorpion, ##s], [1984]]",no_relation,no_relation,123,0,0
tay ##mour iqbal 114 ab ##id hussain 115 muhammad abbas 116 muhammad ali 117 mu ##ham ##md tan ##wee ##r no ##or 118 muhammad shah ##za ##d gov ##ani 119 muhammad is ##ha ##q mans ##uri 120 muhammad ari ##f 121 hash ##am ismail 122 muhammad me ##hdi 123 akbar me ##hdi 124 ar ##uba hai ##der 125 sad ##ia .,"[[120], [sad, ##ia]]",no_relation,no_relation,124,0,0
"last month , dc ##c agreed to pay euro ##37 . 6 million ( us $ 59 . 6 million ) to f ##y ##ffe ##s and euro ##3 . 4 million ( us $ 5 . 4 million ) to four institutional investors that also suffered losses linked to the dc ##c dumping of f ##y ##ffe ##s shares .","[[last, month], [f, ##y, ##ffe, ##s]]",no_relation,no_relation,125,0,0
"we had developed a contact system and that has been destroyed , ' ' chavez said on his weekly radio program , ` ` al ##o president ##e , ' ' speaking about his meeting saturday with former us envoy to the united nations bill richardson .","[[chavez], [his]]",no_relation,no_relation,126,0,0
"com ##pan ##hia side ##ru ##rg ##ica nacional sa says the sale is a strategic partnership with japan ' s ito ##chu corporation , nippon steel corp . , j ##fe steel corp . , sum ##ito ##mo metal industries ltd . , kobe steel ltd . , ni ##ss ##hin steel co . ltd . and south korea ' s po ##sco .","[[ito, ##chu, corporation], [kobe, steel, ltd, .]]",no_relation,no_relation,127,0,0
"u . s . rep . jo ann davis , who represented southeastern virginia in the house of representatives for seven years , died saturday morning after a two - year battle with breast cancer , her office said .","[[rep, .], [jo, ann, davis]]",no_relation,no_relation,128,0,0
"house energy and commerce committee chairman john ding ##ell wants al hubbard , the director of the national economic council , to discuss bush ' s plan to upgrade the federal fuel efficiency requirements for new passenger cars .","[[chairman], [al, hubbard]]",no_relation,no_relation,129,0,0
"students have said they witnessed confrontation ##s between king and mc ##iner ##ney in the weeks or days before the shooting , including king ' s teasing mc ##iner ##ney and telling him that he liked him .","[[him], [him]]",no_relation,no_relation,130,0,0
"ne ##va ##eh buchanan ' s mother , jennifer buchanan , says george kennedy was like a father to ne ##va ##eh while her daughter did n ' t really know roy smith , the other person of interest .","[[jennifer, buchanan], [her]]",no_relation,no_relation,131,0,0
"the 148 , 000 member american psychological association aka ko ##oo ##chers k ##00 ##ks rendered the ap ##a ' s code of ethics meaningless by amend ##ing the ap ##a ' a code of ethics to include section 1 . 02 aka ` ` the nuremberg defense ' ' to reflect the reality that the 148 , 000 member american psychological association aka ko ##oche ##rs k ##00 ##ks is an adjunct to the us department of defense .","[[american, psychological, association], [148, ,, 000]]",no_relation,no_relation,132,0,0
"the two bush administrations s ##nu ##bbed highly qualified northwest republicans - - dan evans , jennifer dunn and slade go ##rton - - and were satisfied with making prominent go ##p donors into u . s . ambassadors to diplomatic back ##water ##s .","[[northwest, republicans], [jennifer, dunn]]",no_relation,no_relation,133,0,0
yesterday pre ##jean appeared with james dobson on focus on the family ' s radio show to say that perez hilton was channel ##ing satan when he asked her about gay marriage :,"[[focus, on, the, family], [he]]",no_relation,no_relation,134,0,0
"of course , considering its pe ##di ##gree - - between them , creator / producer bryan fuller and director / producer barry son ##nen ##feld have worked on the tv series ` ` wonder ##falls , heroes ' ' and ` ` dead like me ' ' and the films ` ` men in black ' ' and ` ` lemon ##y s ##nick ##et ' s a series of unfortunate events ' ' - - the sense of comic - book magical realism is no real surprise .","[[bryan, fuller], [barry, son, ##nen, ##feld]]",no_relation,no_relation,135,0,0
tay ##mour iqbal 114 ab ##id hussain 115 muhammad abbas 116 muhammad ali 117 mu ##ham ##md tan ##wee ##r no ##or 118 muhammad shah ##za ##d gov ##ani 119 muhammad is ##ha ##q mans ##uri 120 muhammad ari ##f 121 hash ##am ismail 122 muhammad me ##hdi 123 akbar me ##hdi 124 ar ##uba hai ##der 125 sad ##ia .,"[[ar, ##uba, hai, ##der], [sad, ##ia]]",no_relation,no_relation,136,0,0
"phoenix complain ##s a lot about being misunderstood , gives passionate bear hugs to fellow actors sean penn , bruce willis , jack nicholson and danny glover at a play rehearsal , and makes a half ##hearted attempt at attending president barack obama ' s inauguration .","[[danny, glover], [president]]",no_relation,no_relation,137,0,0
"according to the press bureau of the iranian maj ##lis , he made the remark in meeting with his iranian counterpart g ##hol ##am - ali had ##dad ad ##el on the side ##lines of the 117 ##th meeting of the inter - parliamentary union ( ip ##u ) in geneva .","[[g, ##hol, ##am, -, ali, had, ##dad, ad, ##el], [inter, -, parliamentary, union]]",no_relation,no_relation,138,0,0
ron ##de barber returned an interception 29 yards for a td and earnest graham scored a touchdown rushing in a team - record sixth consecutive game to help tampa bay improve to 5 - 0 in the division after going 0 - 6 against nfc south rivals a year ago .,"[[5, -, 0], [nfc, south]]",no_relation,no_relation,139,0,0
"at 8 on a saturday morning , just as the heat was per ##me ##ating this sprawling orlando suburb , denise ki ##rso ##p don ##ned a white plastic moon suit and began sorting through the trash produced by north ##land church .","[[orlando], [north, ##land, church]]",no_relation,no_relation,140,0,0
"the asian development bank ( ad ##b ) will help finance a transport network improvement project of lao people ' s democratic republic ( lao pd ##r ) , said ad ##b in a news release on tuesday .","[[ad, ##b], [tuesday]]",no_relation,no_relation,141,0,0
"it ' s a lovely performance that was overshadowed at the time by george kennedy ' s academy award - winning turn as the leader of the chain gang , who becomes friends with luke .","[[george, kennedy], [leader]]",no_relation,no_relation,143,0,0
"most of this money is transparent , ear ##mark ##ed in congress ' foreign operations ( foreign aid ) appropriations bills , with the three major items being military grants ( foreign military financing , or fm ##f ) , economic grants ( economic support funds , or es ##f ) , and ` ` refugee assistance . ' '","[[fm, ##f], [es, ##f]]",no_relation,no_relation,144,0,0
"` ` she feels that she has exhausted every opportunity to salvage the marriage , and that alex has emotionally abandoned her and the children and has left her with no choice but to divorce him , ' ' ku ##tner told the newspaper .","[[she], [her]]",no_relation,no_relation,145,0,0
"the american institute of philanthropy , a non ##partisan organization that reports on how efficiently charities di ##sp ##ense their funds , has compiled an excellent list of first - rate nonprofit ##s , including the fisher house foundation , int ##re ##pid fallen heroes fund , army emergency relief , the navy - marine corps relief society and the national military family association .","[[int, ##re, ##pid, fallen, heroes, fund], [national, military, family, association]]",no_relation,no_relation,146,0,0
"jane callahan gu ##de , 84 , a republican party activist and a tire ##less campaign ##er for her husband , former u . s . rep . gilbert gu ##de , r - md . , died march 24 of cong ##est ##ive heart failure at si ##bley memorial hospital ' s grand oaks assisted living facility .","[[gilbert, gu, ##de], [march, 24]]",no_relation,no_relation,147,0,0
